"name","pop","location"
"Chitradurga","138587","https://www.google.com/maps/?q=14.2226,76.4004"
"Thanesar","138279","https://www.google.com/maps/?q=29.9732,76.8321"
"Tiruvannamalai","138243","https://www.google.com/maps/?q=12.2266,79.0746"
"Anand","138009","https://www.google.com/maps/?q=22.5525,72.9552"
"Kanchrapara","136954","https://www.google.com/maps/?q=22.96,88.4285"
"Mahbubnagar","136135","https://www.google.com/maps/?q=16.7439,77.986"
"Dimapur","135860","https://www.google.com/maps/?q=25.9117,93.7217"
"Robertsonpet","135218","https://www.google.com/maps/?q=12.9563,78.2754"
"Chhindwara","134847","https://www.google.com/maps/?q=22.057,78.9396"
"Mandya","134845","https://www.google.com/maps/?q=12.5223,76.8975"
"Bankura","133966","https://www.google.com/maps/?q=23.2324,87.0716"
"Hajipur","133606","https://www.google.com/maps/?q=25.6854,85.2098"
"Gonda City","133583","https://www.google.com/maps/?q=27.1318,81.9533"
"Bhuj","133459","https://www.google.com/maps/?q=23.254,69.6693"
"Hindupur","133298","https://www.google.com/maps/?q=13.8281,77.4914"
"Shillong","132842","https://www.google.com/maps/?q=25.5689,91.8831"
"Palghat","132728","https://www.google.com/maps/?q=10.7732,76.6537"
"Godhra","131913","https://www.google.com/maps/?q=22.7755,73.6149"
"Kishangarh","131749","https://www.google.com/maps/?q=26.5901,74.854"
"Raniganj","131261","https://www.google.com/maps/?q=23.6164,87.1306"
"Pilibhit","131008","https://www.google.com/maps/?q=28.6312,79.8044"
"Beawar","130777","https://www.google.com/maps/?q=26.1012,74.3203"
"Abohar","130603","https://www.google.com/maps/?q=30.1445,74.1955"
"Moga","130549","https://www.google.com/maps/?q=30.8138,75.1688"
"Dehri","129938","https://www.google.com/maps/?q=24.9025,84.1822"
"Deoria","129570","https://www.google.com/maps/?q=26.5017,83.7794"
"Hassan","128531","https://www.google.com/maps/?q=13.0071,76.0962"
"Khardah","128346","https://www.google.com/maps/?q=22.7186,88.3781"
"Yavatmal","128175","https://www.google.com/maps/?q=20.3932,78.132"
"Halisahar","128172","https://www.google.com/maps/?q=22.9322,88.4186"
"Panvel","128046","https://www.google.com/maps/?q=18.9888,73.1101"
"Titagarh","127751","https://www.google.com/maps/?q=22.7425,88.3733"
"Cuddapah","127010","https://www.google.com/maps/?q=14.4799,78.8235"
"Bettiah","127008","https://www.google.com/maps/?q=26.8023,84.5031"
"Hathras","126882","https://www.google.com/maps/?q=27.5955,78.052"
"Lalitpur","126475","https://www.google.com/maps/?q=24.6901,78.4192"
"Kolar","126441","https://www.google.com/maps/?q=13.1377,78.13"
"Mandsaur","124988","https://www.google.com/maps/?q=24.0718,75.0699"
"Gondia","124897","https://www.google.com/maps/?q=21.4603,80.192"
"Rajapalaiyam","124168","https://www.google.com/maps/?q=9.45296,77.5534"
"Darjiling","123797","https://www.google.com/maps/?q=27.0333,88.2667"
"Mohali","123484","https://www.google.com/maps/?q=30.68,76.7221"
"Palanpur","123294","https://www.google.com/maps/?q=24.1713,72.4383"
"Dam Dam","122719","https://www.google.com/maps/?q=22.6334,88.4229"
"Hardoi","122635","https://www.google.com/maps/?q=27.3949,80.1317"
"Puruliya","122533","https://www.google.com/maps/?q=23.3306,86.363"
"Dibrugarh","122155","https://www.google.com/maps/?q=27.4799,94.9084"
"Palwal","121965","https://www.google.com/maps/?q=28.1447,77.3255"
"Nalgonda","121826","https://www.google.com/maps/?q=17.0544,79.2671"
"Bhadreswar","121662","https://www.google.com/maps/?q=22.8245,88.3384"
"Vejalpur","121610","https://www.google.com/maps/?q=22.6902,73.563"
"Chikmagalur","121484","https://www.google.com/maps/?q=13.3223,75.774"
"Raigarh","121278","https://www.google.com/maps/?q=21.8976,83.3966"
"Guntakal Junction","120964","https://www.google.com/maps/?q=15.1711,77.3624"
"Gangapur","120115","https://www.google.com/maps/?q=26.4725,76.7174"
"Deoli","120000","https://www.google.com/maps/?q=28.5025,77.2312"
"Siwan","119181","https://www.google.com/maps/?q=26.221,84.3561"
"Damoh","118776","https://www.google.com/maps/?q=23.8331,79.4419"
"Adilabad","118526","https://www.google.com/maps/?q=19.672,78.5359"
"Chicacole","118299","https://www.google.com/maps/?q=18.2989,83.8975"
"Uppal Kalan","118259","https://www.google.com/maps/?q=17.4058,78.5591"
"Jetpur","118068","https://www.google.com/maps/?q=21.7548,70.6235"
"Morbi","118022","https://www.google.com/maps/?q=22.8173,70.8377"
"Patan","117863","https://www.google.com/maps/?q=23.8507,72.1296"
"Khanna","117137","https://www.google.com/maps/?q=30.7055,76.222"
"Botad","117053","https://www.google.com/maps/?q=22.1692,71.6667"
"Rishra","117014","https://www.google.com/maps/?q=22.7239,88.3456"
"Azamgarh","116644","https://www.google.com/maps/?q=26.0683,83.1836"
"Yelahanka","116447","https://www.google.com/maps/?q=13.1007,77.5963"
"Gudivada","116161","https://www.google.com/maps/?q=16.4355,80.9956"
"Baidyabati","115504","https://www.google.com/maps/?q=22.785,88.3259"
"Basti","115115","https://www.google.com/maps/?q=26.7882,82.7162"
"Balasore","114321","https://www.google.com/maps/?q=21.4927,86.9335"
"Dharmavaram","114050","https://www.google.com/maps/?q=14.4143,77.7204"
"Maler Kotla","113840","https://www.google.com/maps/?q=30.5309,75.8795"
"Wardha","113759","https://www.google.com/maps/?q=20.7393,78.5978"
"Jhunjhunun","113193","https://www.google.com/maps/?q=28.1256,75.398"
"Satara","112793","https://www.google.com/maps/?q=17.6859,73.9933"
"Chanduasi","112635","https://www.google.com/maps/?q=28.4518,78.7828"
"Mothihari","112144","https://www.google.com/maps/?q=26.6486,84.9166"
"Chas","112141","https://www.google.com/maps/?q=23.6356,86.1671"
"Pudukkottai","112118","https://www.google.com/maps/?q=10.3813,78.8214"
"Rewari","112079","https://www.google.com/maps/?q=28.199,76.6183"
"Port Blair","112050","https://www.google.com/maps/?q=11.6661,92.7464"
"Suriapet","111729","https://www.google.com/maps/?q=17.1405,79.6205"
"Bangaon","111693","https://www.google.com/maps/?q=23.0455,88.8308"
"Chhatarpur","111594","https://www.google.com/maps/?q=24.9177,79.5887"
"Ashoknagar Kalyangarh","111475","https://www.google.com/maps/?q=22.8642,88.637"
